,Artist,Song Title,Year
4408,Monica,For You I Will,1997
4409,Usher,You Make Me Wanna...,1997
4410,Meredith Brooks,Bitch,1997
4411,Keith Sweat,Nobody,1997
4412,Third Eye Blind,Semi-Charmed Life,1997
4413,Duncan Sheik,Barely Breathing,1997
4414,Az Yet feat. Peter Cetera,Hard To Say I'm Sorry,1997
4415,Notorious B.I.G.,Mo Money Mo Problems,1997
4416,Verve Pipe,The Freshmen,1997
4417,Savage Garden,I Want You,1997
4418,BLACKstreet feat. Dr. Dre,No Diggity,1997
4419,Rome,I Belong To You (Every Time I See Your Face),1997
4420,Notorious B.I.G.,Hypnotize,1997
4421,Babyface,Every Time I Close My Eyes,1997
4422,Dru Hill,In My Bed,1997
4423,Spice Girls,Say You'll Be There,1997
4424,Robyn,Do You Know (What It Takes),1997
4425,Boyz II Men,4 Seasons Of Loneliness,1997
4426,Changing Faces,G.H.E.T.T.O.U.T.,1997
4427,Mariah Carey,Honey,1997
4428,Whitney Houston,I Believe In You And Me,1997
4429,Freaknasty,Da' Dip,1997
4430,Spice Girls,2 Become 1,1997
4431,Sister Hazel,All For You,1997
4432,112,Cupid,1997
4433,Paula Cole,Where Have All The Cowboys Gone?,1997
4434,Shawn Colvin,Sunny Came Home,1997
4435,Tim McGraw and Faith Hill,It's Your Love,1997
4436,Gina G,Ooh Aah... Just A Little Bit,1997
4437,Merril Bainbridge,Mouth,1997
4438,Allure feat. 112,All Cried Out,1997
4439,New Edition,I'm Still In Love With You,1997
4440,98 Degrees,Invisible Man,1997
4441,Lil' Kim,Not Tonight,1997
4442,Bone Thugs-N-Harmony,Look Into My Eyes,1997
4443,702,Get It Together,1997
4444,Celine Dion,All By Myself,1997
4445,Celine Dion,It's All Coming Back To Me Now,1997
4446,Somethin' For The People,My Love Is The Shhh!,1997
4447,No Mercy,Where Do You Go,1997
4448,Barbra Streisand and Bryan Adams,I Finally Found Someone,1997
4449,Foxy Brown feat. Jay-Z,I'll Be,1997
4450,Sheryl Crow,If It Makes You Happy,1997
4451,Dru Hill,Never Make A Promise,1997
4452,Journey,When You Love A Woman,1997
4453,Magoo And Timbaland,Up Jumps Da Boogie,1997
4454,Toni Braxton,I Don't Want To / I Love Me Some Him,1997
4455,Sheryl Crow,Everyday Is A Winding Road,1997
4456,Mc Lyte,Cold Rock A Party,1997
4457,Ginuwine,Pony,1997
4458,Sarah McLachlan,Building A Mystery,1997
4459,Donna Lewis,I Love You Always Forever,1997
4460,White Town,Your Woman,1997
4461,Coolio,C U When U Get There,1997
4462,Eric Clapton,Change The World,1997
4463,B-Rock and The Bizz,My Baby Daddy,1997
4464,Chumbawamba,Tubthumping,1997
4465,R. Kelly,Gotham City,1997
4466,Az Yet,Last Night,1997
4467,Various Artists,ESPN Presents The Jock Jam,1997
4468,Heavy D,Big Daddy,1997
4469,Total,What About Us,1997
4470,Scarface,Smile,1997
4471,Montell Jordan,What's On Tonight,1997
4472,Bruce Springsteen,Secret Garden,1997
4473,Aaliyah,The One I Gave My Heart To,1997
4474,Seal,Fly Like An Eagle,1997
4475,Lil' Kim,No Time,1997
4476,Luscious Jackson,Naked Eye,1997
4477,Los Del Rio,Macarena (Bayside Boys Mix),1997
4478,Erykah Badu,On and On,1997
4479,Joe,Don't Wanna Be A Player,1997
4480,Warren G,I Shot The Sheriff,1997
4481,Brian McKnight feat. Mase,You Should Be Mine (Don't Waste Your Time),1997
4482,Madonna,Don't Cry For Me Argentina,1997
4483,SWV,Someone,1997
4484,Michael Bolton,Go The Distance,1997
4485,Real McCoy,One More Time,1997
4486,Next,Butta Love,1997
4487,Mr. President,Coco Jamboo,1997
4488,Keith Sweat,Twisted,1997
4489,Aqua,Barbie Girl,1997
4490,Cranberries,When You're Gone / Free To Decide,1997
4491,DJ Kool,Let Me Clear My Throat,1997
4492,Blackout Allstars,I Like It,1997
4493,Toni Braxton,You're Makin' Me High / Let It Flow,1997
4494,Madonna,You Must Love Me,1997
4495,Ray J,Let It Go,1997
4496,Next,Too Close,1998
4497,Brandy and Monica,The Boy Is Mine,1998
4498,Shania Twain,You're Still The One,1998
4499,Savage Garden,Truly Madly Deeply,1998
4500,LeAnn Rimes,How Do I Live,1998
4501,Janet,Together Again,1998
4502,K-Ci and JoJo,All My Life,1998
4503,Elton John,Candle In The Wind 1997 / Something About The Way You Look Tonight,1998
4504,Usher,Nice and Slow,1998
4505,Paula Cole,I Don't Want To Wait,1998
4506,Third Eye Blind,How's It Going To Be,1998
4507,Destiny's Child,"No, No, No",1998
4508,Celine Dion,My Heart Will Go On,1998
4509,Will Smith,Gettin' Jiggy Wit It,1998
4510,Usher,You Make Me Wanna...,1998
4511,Usher,My Way,1998
4512,Mariah Carey,My All,1998
4513,Monica,The First Night,1998
4514,Puff Daddy and The Family,Been Around The World,1998
4515,Sarah McLachlan,Adia,1998
4516,Jennifer Paige,Crush,1998
4517,Backstreet Boys,Everybody (Backstreet's Back),1998
4518,Aerosmith,I Don't Want To Miss A Thing,1998
4519,Public Announcement,Body Bumpin (Yippie-Yi-Yo),1998
4520,Faith Hill,This Kiss,1998
4521,Uncle Sam,I Don't Ever Want To See You Again,1998
4522,Montell Jordan,Let's Ride,1998
4523,Marcy Playground,Sex And Candy,1998
4524,Robyn,Show Me Love,1998
4525,Boyz II Men,A Song For Mama,1998
4526,Mase,What You Want,1998
4527,Madonna,Frozen,1998
4528,Wyclef Jean,Gone Till November,1998
4529,Lsg,My Body,1998
4530,Chumbawamba,Tubthumping,1998
4531,Lord Tariq and Peter Gunz,Deja Vu (Uptown Baby),1998
4532,'N Sync,I Want You Back,1998
4533,Five,When The Lights Go Out,1998
4534,Jon B.,They Don't Know,1998
4535,Master P,Make Em' Say Uhh!,1998
4536,"Nicole feat. Missy ""Misdemeanor"" Elliott and Mocha",Make It Hot,1998
4537,All Saints,Never Ever,1998
4538,Janet,I Get Lonely,1998
4539,Mase,Feel So Good,1998
4540,Voices Of Theory,Say It,1998
4541,Billie Myers,Kiss The Rain,1998
4542,Puff Daddy,Come With Me,1998
4543,Sylk-E Fyne,Romeo And Juliet,1998
4544,Mya and Sisqo,It's All About Me,1998
4545,Hanson,I Will Come To You,1998
4546,Barenaked Ladies,One Week,1998
4547,K.P. and Envyi,Swing My Way,1998
4548,Xscape,The Arms Of The One Who Loves You,1998
4549,Somethin' For The People,My Love Is The Shhh!,1998
4550,Tatyana Ali,Daydreamin',1998
4551,Dru Hill,We're Not Making Love No More,1998
4552,Third Eye Blind,Semi-Charmed Life,1998
4553,Lisa Loeb,I Do,1998
4554,Mase,Lookin' At Me,1998
4555,LeAnn Rimes,Looking Through Your Eyes,1998
4556,Divine,Lately,1998
4557,Backstreet Boys,Quit Playing Games (With My Heart),1998
4558,Next,I Still Love You,1998
4559,Inoj,Time After Time,1998
4560,Jimmy Ray,Are You Jimmy Ray?,1998
4561,Ace Of Base,Cruel Summer,1998
4562,Master P,I Got The Hook Up!,1998
4563,Puff Daddy and The Family,Victory,1998
4564,Spice Girls,Too Much,1998
4565,Pras Feat. Ol' Dirty Bastard and Mya,Ghetto Supastar (That Is What You Are),1998
4566,Dru Hill feat. Redman,How Deep Is Your Love,1998
4567,Kelly Price,Friend Of Mine,1998
4568,Busta Rhymes,Turn It Up [Remix] / Fire It Up,1998
4569,Edwin McCain,I'll Be,1998
4570,Madonna,Ray Of Light,1998
4571,Sister Hazel,All For You,1998
4572,Monifah,Touch It,1998
4573,Lox,"Money, Power and Respect",1998
4574,Verve,Bitter Sweet Symphony,1998
4575,Busta Rhymes,Dangerous,1998
4576,Spice Girls,Spice Up Your Life,1998
4577,98 Degrees,Because Of You,1998
4578,Loreena McKennitt,The Mummers' Dance,1998
4579,Allure feat. 112,All Cried Out,1998
4580,Big Punisher feat. Joe,Still Not A Player,1998
4581,Aaliyah,The One I Gave My Heart To,1998
4582,Jewel,Foolish Games / You Were Meant For Me,1998
4583,Inoj,Love You Down,1998
4584,2Pac,Do For Love,1998
4585,Luke,Raise The Roof,1998
4586,Nu Flavor,Heaven,1998
4587,Jd,The Party Continues,1998
4588,"Missy ""Misdemeanor"" Elliott feat. Da Brat",Sock It 2 Me,1998
4589,Next,Butta Love,1998
4590,Aretha Franklin,A Rose Is Still A Rose,1998
4591,Boyz II Men,4 Seasons Of Loneliness,1998
4592,LL Cool J,Father,1998
4593,Gerald Levert,Thinkin' Bout It,1998
4594,Deborah Cox,Nobody's Supposed To Be Here,1998
4595,TQ,Westside,1998
4596,Cher,Believe,1999
4597,TLC,No Scrubs,1999
4598,Monica,Angel Of Mine,1999
4599,Whitney Houston,Heartbreak Hotel,1999
4600,Britney Spears,...Baby One More Time,1999
4601,Sixpence None The Richer,Kiss Me,1999
4602,Christina Aguilera,Genie In A Bottle,1999
4603,Sugar Ray,Every Morning,1999
4604,Deborah Cox,Nobody's Supposed To Be Here,1999
4605,Ricky Martin,Livin' La Vida Loca,1999
4606,702,Where My Girls At?,1999
4607,Jennifer Lopez,If You Had My Love,1999
4608,Goo Goo Dolls,Slide,1999
4609,Brandy,Have You Ever?,1999
4610,Backstreet Boys,I Want It That Way,1999
4611,R. Kelly and Celine Dion,I'm Your Angel,1999
4612,Smash Mouth,All Star,1999
4613,Sarah McLachlan,Angel,1999
4614,Santana feat. Rob Thomas,Smooth,1999
4615,TLC,Unpretty,1999
4616,Destiny's Child,"Bills, Bills, Bills",1999
4617,Eagle-Eye Cherry,Save Tonight,1999
4618,Pearl Jam,Last Kiss,1999
4619,Maxwell,Fortunate,1999
4620,Backstreet Boys,All I Have To Give,1999
4621,Enrique Iglesias,Bailamos,1999
4622,Busta Rhymes feat. Janet,What's It Gonna Be?!,1999
4623,Everlast,What It's Like,1999
4624,Lenny Kravitz,Fly Away,1999
4625,Sugar Ray,Someday,1999
4626,Divine,Lately,1999
4627,Shania Twain,That Don't Impress Me Much,1999
4628,Will Smith feat. Dru Hill and Kool Moe Dee,Wild Wild West,1999
4629,Red Hot Chili Peppers,Scar Tissue,1999
4630,Mariah Carey feat. Jay-Z,Heartbreaker,1999
4631,Mariah Carey,I Still Believe,1999
4632,98 Degrees,The Hardest Thing,1999
4633,LFO,Summer Girls,1999
4634,Jay-Z feat. Amil (Of Major Coinz) and Ja,Can I Get A...,1999
4635,Third Eye Blind,Jumper,1999
4636,Lauryn Hill,Doo Wop (That Thing),1999
4637,Lou Bega,Mambo No. 5 (A Little Bit Of...),1999
4638,Tyrese,Sweet Lady,1999
4639,Whitney Houston,It's Not Right But It's Okay,1999
4640,'N Sync,(God Must Have Spent) A Little More Time On You,1999
4641,Shawn Mullins,Lullaby,1999
4642,112 feat. Lil' Zane,Anywhere,1999
4643,K-Ci and JoJo,Tell Me It's Real,1999
4644,Matchbox 20,Back 2 Good,1999
4645,Blaque,808,1999
4646,Tal Bachman,She's So High,1999
4647,Ricky Martin,She's All I Ever Had,1999
4648,Will Smith,Miami,1999
4649,Jewel,Hands,1999
4650,JT Money feat. Sole,Who Dat,1999
4651,Tim McGraw,Please Remember Me,1999
4652,Shania Twain,From This Moment On,1999
4653,Faith Evans,Love Like This,1999
4654,Jesse Powell,You,1999
4655,Total feat. Missy Elliott,Trippin',1999
4656,Silk,If You (Lovin' Me),1999
4657,Lauryn Hill,Ex-Factor,1999
4658,Jordan Knight,Give It To You,1999
4659,Goo Goo Dolls,Black Balloon,1999
4660,Eric Benet feat. Tamia,Spend My Life With You,1999
4661,Dru Hill,These Are The Times,1999
4662,Mark Chesnutt,I Don't Want To Miss A Thing,1999
4663,98 Degrees,I Do (Cherish You),1999
4664,98 Degrees,Because Of You,1999
4665,Sarah McLachlan,I Will Remember You (Live),1999
4666,Chante Moore,Chante's Got A Man,1999
4667,Case,Happily Ever After,1999
4668,Whitney Houston,My Love Is Your Love,1999
4669,Faith Evans feat. Puff Daddy,All Night Long,1999
4670,Juvenile feat. Mannie Fresh and Lil' Wayne,Back That Thang Up,1999
4671,Brandy,Almost Doesn't Count,1999
4672,Shania Twain,Man! I Feel Like A Woman!,1999
4673,Len,Steal My Sunshine,1999
4674,Marc Anthony,I Need To Know,1999
4675,Ginuwine,So Anxious,1999
4676,Case and Joe,Faded Pictures,1999
4677,Brian McKnight,Back At One,1999
4678,R. Kelly,When A Woman's Fed Up,1999
4679,Kenny Chesney,How Forever Feels,1999
4680,Lonestar,Amazed,1999
4681,Britney Spears,Sometimes,1999
4682,Mo Thugs Family feat. Bone Thugs-N-Harmony,Ghetto Cowboy,1999
4683,Fastball,Out Of My Head,1999
4684,Jay-Z,Hard Knock Life (Ghetto Anthem),1999
4685,Naughty By Nature feat. Zhane,Jamboree,1999
4686,BLACKstreet and Mya feat. Mase and Blinky Blink,Take Me There,1999
4687,Joey McIntyre,Stay The Same,1999
4688,Jo Dee Messina,Lesson In Leavin',1999
4689,Goo Goo Dolls,Iris,1999
4690,Puff Daddy feat. R. Kelly,Satisfy You,1999
4691,Citizen King,Better Days (And The Bottom Drops Out),1999
4692,'N Sync and Gloria Estefan,Music Of My Heart,1999
4693,George Strait,Write This Down,1999
4694,Whitney Houston and Mariah Carey,When You Believe,1999
4695,Alabama feat. 'N Sync,God Must Have Spent A Little More Time On You,1999
4696,Faith Hill,Breathe,2000
4697,Santana feat. Rob Thomas,Smooth,2000
4698,Santana feat. The Product GandB,Maria Maria,2000
4699,Joe,I Wanna Know,2000
4700,Vertical Horizon,Everything You Want,2000
4701,Destiny's Child,Say My Name,2000
4702,Savage Garden,I Knew I Loved You,2000
4703,Lonestar,Amazed,2000
4704,matchbox twenty,Bent,2000
4705,Toni Braxton,He Wasn't Man Enough,2000
4706,Creed,Higher,2000
4707,Aaliyah,Try Again,2000
4708,Destiny's Child,Jumpin Jumpin',2000
4709,Sisqo,Thong Song,2000
4710,3 Doors Down,Kryptonite,2000
4711,Pink,There You Go,2000
4712,Madonna,Music,2000
4713,Janet,Doesn't Really Matter,2000
4714,Christina Aguilera,What A Girl Wants,2000
4715,Brian McKnight,Back At One,2000
4716,'N Sync,Bye Bye Bye,2000
4717,Marc Anthony,You Sang To Me,2000
4718,Marc Anthony,I Need To Know,2000
4719,Montell Jordan,Get It On Tonite,2000
4720,Sisqo,Incomplete,2000
4721,Macy Gray,I Try,2000
4722,'N Sync,It's Gonna Be Me,2000
4723,Celine Dion,That's The Way It Is,2000
4724,Nelly,(Hot S**T) Country Grammar,2000
4725,Blaque,Bring It All To Me,2000
4726,Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
4727,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz,2000
4728,BBMak,Back Here,2000
4729,Sonique,It Feels So Good,2000
4730,Nine Days,Absolutely (Story Of A Girl),2000
4731,Creed,With Arms Wide Open,2000
4732,Enrique Iglesias,Be With You,2000
4733,Christina Aguilera,Come On Over Baby (All I Want Is You),2000
4734,Ruff Endz,No More,2000
4735,Blink 182,All The Small Things,2000
4736,Faith Hill,The Way You Love Me,2000
4737,Christina Aguilera,I Turn To You,2000
4738,Third Eye Blind,Never Let You Go,2000
4739,LeAnn Rimes,I Need You,2000
4740,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You,2000
4741,Jagged Edge,Let's Get Married,2000
4742,Whitney Houston,My Love Is Your Love,2000
4743,Smash Mouth,Then The Morning Comes,2000
4744,Eiffel 65,Blue (Da Ba Dee),2000
4745,Sting feat. Cheb Mami,Desert Rose,2000
4746,Eminem,The Real Slim Shady,2000
4747,Pink,Most Girls,2000
4748,Next,Wifey,2000
4749,Everclear,Wonderful,2000
4750,Britney Spears,Oops!... I Did It Again,2000
4751,Jessica Simpson,I Wanna Love You Forever,2000
4752,98 Degrees,Give Me Just One Night (Una Noche ),2000
4753,Filter,Take A Picture,2000
4754,Red Hot Chili Peppers,Otherside,2000
4755,Jay-Z feat. UGK,Big Pimpin',2000
4756,Son By Four,Purest Of Pain (A Puro Dolor),2000
4757,Jagged Edge,He Can't Love U,2000
4758,Avant,Separated,2000
4759,Carl Thomas,I Wish,2000
4760,Donell Jones,U Know What's Up,2000
4761,soulDecision feat. Thrust,Faded,2000
4762,Kid Rock,Only God Knows Why,2000
4763,Mystikal,Shake Ya Ass,2000
4764,Erykah Badu,Bag Lady,2000
4765,Train,Meet Virginia,2000
4766,DMX,Party Up (Up In Here),2000
4767,Mya,Case Of The Ex (Whatcha Gonna Do),2000
4768,Dr. Dre feat. Eminem,Forget About Dre,2000
4769,Jo Dee Messina,That's The Way,2000
4770,Westlife,Swear It Again,2000
4771,Dr. Dre feat. Snoop Dogg,The Next Episode,2000
4772,Britney Spears,From The Bottom Of My Broken Heart,2000
4773,Savage Garden,Crash And Burn,2000
4774,Chad Brock,Yes!,2000
4775,George Strait,The Best Day,2000
4776,Donell Jones,Where I Wanna Be,2000
4777,Toby Keith,How Do You Like Me Now?!,2000
4778,Tim McGraw,My Best Friend,2000
4779,Goo Goo Dolls,Broadway,2000
4780,Da Brat feat. Tyrese,What'chu Like,2000
4781,Kandi,Don't Think I'm Not,2000
4782,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2000
4783,Alice Deejay,Better Off Alone,2000
4784,Debelah Morgan,Dance With Me,2000
4785,Lonestar,What About Now,2000
4786,Sammie,I Like It,2000
4787,Kevon Edmonds,24/7,2000
4788,LFO,Girl On TV,2000
4789,Lil Bow Wow feat. Xscape,Bounce With Me,2000
4790,Dixie Chicks,Cowboy Take Me Away,2000
4791,Aaliyah,I Don't Wanna,2000
4792,Destiny's Child,Independent Women Part I,2000
4793,Samantha Mumba,Gotta Tell You,2000
4794,Jennifer Lopez,Waiting For Tonight,2000
4795,Mary Mary,Shackles (Praise You),2000
4796,Lifehouse,Hanging By A Moment,2001
4797,Alicia Keys,Fallin',2001
4798,Janet,All For You,2001
4799,Train,Drops Of Jupiter (Tell Me),2001
4800,Jennifer Lopez feat. Ja Rule,I'm Real,2001
4801,matchbox twenty,If You're Gone,2001
4802,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
4803,Dido,Thank You,2001
4804,Lenny Kravitz,Again,2001
4805,Destiny's Child,Independent Women Part I,2001
4806,Blu Cantrell,Hit 'Em Up Style (Oops!),2001
4807,"Shaggy feat. Ricardo ""RikRok"" Ducent",It Wasn't Me,2001
4808,Joe feat. Mystikal,Stutter,2001
4809,Staind,It's Been Awhile,2001
4810,Usher,U Remind Me,2001
4811,Jagged Edge With Nelly,Where The Party At,2001
4812,Shaggy feat. Rayvon,Angel,2001
4813,Nelly feat. City Spud,Ride Wit Me,2001
4814,Uncle Kracker,Follow Me,2001
4815,112,Peaches and Cream,2001
4816,Incubus,Drive,2001
4817,City High,What Would You Do?,2001
4818,Destiny's Child,Survivor,2001
4819,"Christina Aguilera, Lil' Kim, Mya and Pink",Lady Marmalade,2001
4820,Outkast,Ms. Jackson,2001
4821,Jennifer Lopez,Love Don't Cost A Thing,2001
4822,Faith Hill,The Way You Love Me,2001
4823,Dream,He Loves U Not,2001
4824,Crazy Town,Butterfly,2001
4825,Ja Rule feat. Lil' Mo and Vita,Put It On Me,2001
4826,Mary J. Blige,Family Affair,2001
4827,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2001
4828,Moby feat. Gwen Stefani,South Side,2001
4829,Madonna,Don't Tell Me,2001
4830,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,2001
4831,K-Ci and JoJo,Crazy,2001
4832,Craig David,Fill Me In,2001
4833,Janet,Someone To Call My Lover,2001
4834,Creed,With Arms Wide Open,2001
4835,Mya,Case Of The Ex (Whatcha Gonna Do),2001
4836,O-Town,All Or Nothing,2001
4837,Destiny's Child,Bootylicious,2001
4838,Nelly Furtado,I'm Like A Bird,2001
4839,3 Doors Down,Kryptonite,2001
4840,R. Kelly feat. Jay-Z,Fiesta,2001
4841,Sugar Ray,When It's Over,2001
4842,Aerosmith,Jaded,2001
4843,Jagged Edge,Promise,2001
4844,Case,Missing You,2001
4845,Ginuwine,Differences,2001
4846,'N Sync,This I Promise You,2001
4847,Jay-Z,Izzo (H.O.V.A.),2001
4848,Lil' Mo feat. Fabolous,Superwoman Pt. II,2001
4849,Evan And Jaron,Crazy For This Girl,2001
4850,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,2001
4851,Jay-Z,I Just Wanna Love U (Give It 2 Me),2001
4852,"Missy ""Misdemeanor"" Elliott",One Minute Man,2001
4853,Mystikal feat. Nivea,Danger (Been So Long),2001
4854,Enya,Only Time,2001
4855,Toya,I Do!!,2001
4856,S Club 7,Never Had A Dream Come True,2001
4857,Tamia,Stranger In My House,2001
4858,Jessica Simpson,Irresistible,2001
4859,Sunshine Anderson,Heard It All Before,2001
4860,Dave Matthews Band,The Space Between,2001
4861,Faith Hill,There You'll Be,2001
4862,Musiq Soulchild,Love,2001
4863,112,It's Over Now,2001
4864,3LW,No More (Baby I'ma Do Right),2001
4865,Nelly Furtado,Turn Off The Light,2001
4866,Brooks and Dunn,Ain't Nothing `Bout You,2001
4867,Jennifer Lopez,Play,2001
4868,Lonestar,I'm Already There,2001
4869,Lil' Romeo,My Baby,2001
4870,U2,Beautiful Day,2001
4871,Blake Shelton,Austin,2001
4872,Ludacris,Southern Hospitality,2001
4873,Tim McGraw,Grown Men Don't Cry,2001
4874,Ja Rule feat. Case,Livin' It Up,2001
4875,Mariah Carey feat. Cameo,Loverboy,2001
4876,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,2001
4877,Jessica Andrews,Who I Am,2001
4878,Erick Sermon feat. Marvin Gaye,Music,2001
4879,Willa Ford,I Wanna Be Bad,2001
4880,Kenny Chesney,Don't Happen Twice,2001
4881,Diamond Rio,One More Day,2001
4882,R. Kelly,I Wish,2001
4883,Travis Tritt,It's A Great Day To Be Alive,2001
4884,Trick Daddy,I'm A Thug,2001
4885,Eve 6,Here's To The Night,2001
4886,Toby Keith,You Shouldn't Kiss Me Like This,2001
4887,Eden's Crush,Get Over Yourself,2001
4888,Debelah Morgan,Dance With Me,2001
4889,Outkast,"So Fresh, So Clean",2001
4890,Nelly,E.I.,2001
4891,3 Doors Down,Be Like That,2001
4892,Pink,Most Girls,2001
4893,QB's Finest feat. Nas and Braveheart's,Oochie Wally,2001
4894,Enrique Iglesias,Hero,2001
4895,Fuel,Hemorrhage (In My Hands),2001
4896,Nickelback,How You Remind Me,2002
4897,Ashanti,Foolish,2002
4898,Nelly,Hot in Herre,2002
4899,Nelly feat. Kelly Rowland,Dilemma,2002
4900,Calling,Wherever You Will Go,2002
4901,Vanessa Carlton,A Thousand Miles,2002
4902,Linkin Park,In the End,2002
4903,Fat Joe feat. Ashanti,What's Luv?,2002
4904,Usher,U Got it Bad,2002
4905,Puddle Of Mudd,Blurry,2002
4906,Avril Lavigne,Complicated,2002
4907,Ja Rule feat. Ashanti,Always on Time,2002
4908,Jennifer Lopez feat. Ja Rule,Ain't it Funny,2002
4909,Jimmy Eat World,The Middle,2002
4910,P. Diddy feat. Usher and Loon,I Need a Girl (Part One),2002
4911,Usher,U Don't have to Call,2002
4912,Mary J. Blige,Family Affair,2002
4913,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two),2002
4914,Eve feat. Alicia Keys,Gangsta Lovin',2002
4915,Creed,My Sacrifice,2002
4916,Eminem,Without Me,2002
4917,Enrique Iglesias,Hero,2002
4918,Michelle Branch,All You Wanted,2002
4919,Pink,Get the Party Started,2002
4920,Chad Kroeger feat. Josey Scott,Hero,2002
4921,Default,Wasting My Time,2002
4922,Creed,One Last Breath,2002
4923,Shakira,"Whenever, Wherever",2002
4924,Jennifer Lopez feat. Nas,I'm Gonna Be Alright,2002
4925,Cam'ron feat. Juelz Santana,Oh Boy,2002
4926,DJ Sammy and Yanou feat. Do,Heaven,2002
4927,No Doubt feat. Bounty Killer,Hey Baby,2002
4928,'N Sync feat. Nelly,Girlfriend,2002
4929,Mario,Just a Friend 2002,2002
4930,Sheryl Crow,Soak up the Sun,2002
4931,Pink,Don't Let Me Get Me,2002
4932,N.O.R.E.,Nothin',2002
4933,Tweet,Oops (Oh My),2002
4934,Kelly Clarkson,A Moment Like This,2002
4935,Truth Hurts feat. Rakim,Addictive,2002
4936,Ashanti,Happy,2002
4937,John Mayer,No Such Thing,2002
4938,Pink,Just Like a Pill,2002
4939,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U,2002
4940,Kylie Minogue,Can't Get You Out Of My Head,2002
4941,Five For Fighting,Superman (It's not Easy),2002
4942,Eminem,Cleanin' out my Closet,2002
4943,Musiq,Halfcrazy,2002
4944,Mr. Cheeks,"Lights, Camera, Action!",2002
4945,Big Tymers,Still Fly,2002
4946,Alicia Keys,A Woman's Worth,2002
4947,Craig David,7 Days,2002
4948,"Cam'ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma,2002
4949,"Missy ""Misdemeanor"" Elliott",Work It,2002
4950,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch,2002
4951,LeAnn Rimes,Can't Fight the Moonlight,2002
4952,Enrique Iglesias,Escape,2002
4953,Aaliyah,More than a Woman,2002
4954,No Doubt,Hello Good,2002
4955,Faith Evans,I Love You,2002
4956,Daniel Bedingfield,Gotta Get Thru This,2002
4957,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II,2002
4958,Eminem,Lose Yourself,2002
4959,Michael Jackson,Butterflies,2002
4960,Brandy,What About Us?,2002
4961,Shakira,Underneath your Clothes,2002
4962,Mary J. Blige feat. Ja Rule,Rainy Dayz,2002
4963,Ginuwine,Differences,2002
4964,Angie Martinez feat. Lil' Mo and Sacario,If I could Go!,2002
4965,OutKast feat. Killer Mike,The Whole World,2002
4966,No Doubt feat. Lady Saw,Underneath it All,2002
4967,City High feat. Eve,Caramel,2002
4968,LL Cool J,Luv U Better,2002
4969,Sean Paul,Gimme the Light,2002
4970,'N Sync,Gone,2002
4971,Ja Rule feat. Case,Livin' it Up,2002
4972,Ludacris,Roll Out (My Business),2002
4973,Goo Goo Dolls,Here is Gone,2002
4974,Mary J. Blige,No More Drama,2002
4975,Dirty Vegas,Days go By,2002
4976,Ashanti,Baby,2002
4977,Kenny Chesney,The Good Stuff,2002
4978,Fat Joe feat. R. Kelly,We Thuggin',2002
4979,Steve Holy,Good Morning Beautiful,2002
4980,Aaliyah,Rock the Boat,2002
4981,Alan Jackson,Drive (For Daddy Gene),2002
4982,Jewel,Standing Still,2002
4983,Jaheim feat. Next,Anything,2002
4984,Brandy,Full Moon,2002
4985,B2K,Uh Huh,2002
4986,Celine Dion,A New Day has Come,2002
4987,Nelly Furtado,Turn Off the Light,2002
4988,George Strait,Living and Living Well,2002
4989,Toby Keith,My List,2002
4990,Alanis Morissette,Hands Clean,2002
4991,Avril Lavigne,Sk8er Boi,2002
4992,Dixie Chicks,Long Time Gone,2002
4993,Alan Jackson,Where Were You (When the World Stopped Turning),2002
4994,Justin Timberlake,Like I Love You,2002
4995,Toya,I Do!!,2002
4996,50 Cent,In Da Club,2003
4997,R. Kelly,Ignition,2003
4998,Sean Paul,Get Busy,2003
4999,Beyonce feat. Jay-Z,Crazy In Love,2003
5000,3 Doors Down,When I'm Gone,2003
5001,matchbox twenty,Unwell,2003
5002,Chingy,Right Thurr,2003
5003,Aaliyah,Miss You,2003
5004,Kid Rock feat. Sheryl Crow,Picture,2003
5005,Evanescence feat. Paul McCoy,Bring Me To Life,2003
5006,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2003
5007,Beyonce feat. Sean Paul,Baby Boy,2003
5008,"Nelly, P. Diddy and Murphy Lee",Shake Ya Tailfeather,2003
5009,50 Cent feat. Nate Dogg,21 Questions,2003
5010,Jennifer Lopez feat. LL Cool J,All I Have,2003
5011,Christina Aguilera,Beautiful,2003
